Event Number,Longest Track Length (cm),2nd Longest Track Length (cm),3rd Longest Track Length (cm)
1,112.6937593,30.25891322,10.94827027
2,577.6179198,140.8531546,10.03169948
3,114.6419741,92.31153729,55.36445966
4,135.7979438,88.90165167,43.03009035
5,442.0820633,191.882472,156.0456346
6,735.1921323,104.8317398,25.48513866
7,616.6162696,198.3771174,37.34653154
8,172.5330382,132.6227753,132.2233332
9,616.1218619,102.9769638,1.275492731
10,179.2062813,5.737451174,3.99875526
11,400.3260679,138.9977703,27.43712674
12,189.224647,173.5841859,153.8351926
13,156.6959748,92.05398484,19.23904768
14,129.0545133,57.31866914,5.63431937
15,650.7076378,180.7110201,20.50113335
16,754.3813358,165.7416091,94.54901088
17,486.0133798,147.8358944,21.21973297
18,103.9269879,27.80370808,16.22196104
19,746.217323,187.1628729,181.496971
20,458.4224312,142.2261415,105.3386983
21,187.3081795,72.30778203,39.13460729
22,483.619569,144.0957815,71.34203839
23,121.7625578,70.07427045,26.86175287
24,741.8191622,166.170695,96.3636869
25,139.0064677,25.84990575,24.25503421
26,586.7634812,148.7020294,85.26606635
27,773.7328875,123.5706752,48.724346
28,470.1137614,195.9687599,54.2583394
29,479.3199695,171.4264935,56.54547263
30,428.3081752,171.1597962,95.13623925
31,448.5950809,163.5341464,149.996802
32,157.3012997,155.1044329,111.6422277
33,118.4379497,19.08162063,14.84236236
34,514.271948,171.7026538,142.1481536
35,190.6332021,50.29657202,20.38910796
36,423.6088723,120.912157,86.22559473
37,109.9325692,48.76118619,14.56813051
38,140.7328707,75.79285965,17.8862327
39,123.7196437,41.95083043,6.248941847
40,110.095636,40.58550992,32.20596567
41,129.7840458,10.25857119,0.638700097
42,729.7162719,170.2523523,72.44701376
43,607.6221127,180.7351497,86.96202835
44,426.2526923,192.1324998,141.9251026
45,141.3536641,92.87741587,16.2477793
46,126.8461801,4.570493128,0.449554351
47,139.5435943,87.85221044,4.39268236
48,577.7162584,196.2772157,31.48686644
49,120.3800905,117.0211545,11.5263017
50,413.2455509,103.3281433,41.17750929
51,459.9373136,121.990108,27.89361117
52,456.0386534,187.7873455,28.67244319
53,189.6276483,2.673527014,0.151118822
54,410.7815601,186.907187,42.76743566
55,436.6957425,187.5717561,128.1642935
56,189.1786794,93.91624149,77.48682713
57,725.86492,131.1868724,81.52536197
58,569.2114059,126.9708331,86.03161592
59,138.8818919,128.8083377,12.24564605
60,475.448752,169.0771429,117.4051514
61,182.269278,81.47781043,3.360052757
62,167.755947,21.82395362,19.45388222
63,149.1596382,84.13546613,3.519140817
64,114.7520598,62.82535048,20.71446778
65,505.9952212,180.1971522,137.8366511
66,762.1455958,151.8511644,101.5942486
67,593.034566,166.6082231,14.09463774
68,161.6442686,16.36324372,5.727771378
69,185.4138241,184.6212227,10.42546287
70,136.1138681,34.00833711,26.20017288
71,138.445954,17.1895161,3.025352506
72,104.690658,32.86193908,28.24536454
73,410.6748542,166.8605029,91.57218247
74,137.8805942,119.0808115,51.96786843
75,186.0539877,90.63302528,55.24897067
76,176.353043,34.96524396,23.48045967
77,157.4334974,55.11525075,4.547707536
78,196.6164683,183.3468375,164.4758399
79,501.2955179,134.4962595,116.1083139
80,174.2753724,110.3383049,24.36804211
81,473.2768885,148.6656057,29.53704415
82,584.3732057,120.6011223,85.51730126
83,116.476283,108.6910208,92.92447446
84,479.8986043,135.641164,120.9955096
85,110.6166116,6.513517123,1.370086978
86,101.6825694,29.20082153,17.77178702
87,773.0690456,193.1828321,62.69042035
88,132.4100925,50.37387419,30.37333221
89,794.1256987,150.5704552,130.1885748
90,524.8016198,199.2132351,38.06064329
91,796.2158841,157.2532343,44.76094234
92,576.9179425,167.2643881,146.1190505
93,414.7409969,168.0214104,37.86100071
94,121.5129182,107.2119747,14.69607941
95,186.8113096,167.4458065,123.9886629
96,101.0454752,67.33899339,19.05658749
97,160.5781773,4.23336018,2.350514452
98,116.1074247,72.79415904,64.93023721
99,159.3004093,9.8457509,1.667672976
100,448.1628988,128.997487,22.20585708
101,719.3918489,138.889372,91.43019954
102,484.4698807,116.3603027,78.65743597
103,129.3006903,119.4275208,68.39873657
104,444.7148681,148.017637,101.3374182
105,471.253956,144.5647005,51.09856487
106,618.2014228,196.0321003,88.91121716
107,142.9583542,114.8911951,30.34360897
108,173.9857432,169.59793,128.0214807
109,424.1998102,180.497407,89.40022627
110,113.9963695,84.94598627,1.872141358
111,477.7242239,197.2957456,185.9785362
112,411.3509304,100.1234881,45.09659623
113,163.8820329,132.9204325,30.67766583
114,191.1047704,55.94915322,38.81366229
115,118.2751938,98.9906682,1.433413492
116,167.4400517,70.48861154,10.9232856
117,581.8166021,125.3598485,123.810805
118,515.8879318,132.4036023,18.52073484
119,196.8775269,178.7932086,102.3557137
120,112.7650212,100.7858863,44.14302587
121,772.9780567,195.4370543,5.061763342
122,783.2852829,129.3358072,108.809161
123,594.4768383,131.6250812,121.2359135
124,608.2803208,104.4960229,10.39245965
125,476.5168209,128.2695612,32.50112311
126,703.8082798,106.3887316,26.31366815
127,196.2658885,125.3193906,5.321819938
128,594.1071854,119.5688133,95.70516267
129,513.7186054,177.8076523,71.89642849
130,655.5240611,198.4954151,36.46380785
131,158.6546882,103.3597759,97.18489987
132,118.8653452,55.35722425,49.51734276
133,671.7690645,156.9383037,96.0195748
134,125.7479344,81.95182473,22.03886787
135,761.7057194,151.0273951,55.53526349
136,752.4063684,115.6465399,64.83602488
137,505.5636539,188.9153725,163.558283
138,447.7057194,196.2976867,19.76783
139,100.1478181,47.7683416,2.422890093
140,710.9019504,119.7200584,12.45654915
141,176.1423665,10.71129177,9.023715705
142,431.6160126,188.3817765,142.2750173
143,544.5177045,164.9361331,24.57621208
144,435.2627762,143.5894217,48.86562946
145,748.9528835,162.2364459,18.62977867
146,198.503973,88.44560019,62.47731078
147,133.4845981,124.1180081,45.22961649
148,454.4227592,148.9105132,45.6331324
149,782.7706145,101.8850656,82.47659416
150,771.2251876,148.7342431,91.60528444
151,115.7732838,102.8027002,82.36463841
152,189.3910747,83.59869428,12.80714857
153,158.7821039,77.49470141,28.08439167
154,189.7507313,98.39731868,56.32210638
155,454.1639037,112.1765296,46.09531377
156,637.6469718,111.2845814,107.3411445
157,171.1039723,71.56771725,10.3010596
158,112.9940997,85.43145205,22.51779187
159,175.7441069,114.9718088,70.509072
160,656.2643533,113.4893066,48.02386863
161,633.5355465,139.6621568,52.15941726
162,156.7590094,41.08927502,10.47053605
163,572.0122129,125.4810755,59.50152507
164,121.0817933,72.35096749,50.23341502
165,114.3734349,19.41144745,17.93193077
166,663.0282979,102.5417014,1.748636099
167,617.7644871,129.7825332,83.5711079
168,125.7192137,1.386088725,0.882987699
169,500.347602,120.6102334,39.55860393
170,173.8672121,139.1000338,83.13543607
171,181.6554041,10.80854373,1.193167236
172,179.8317189,145.6601882,67.99478044
173,712.9678215,110.6997235,60.29408041
174,103.5102784,40.70462516,35.03181627
175,195.3472119,61.26864685,43.28701734
176,754.9883979,163.517213,47.82616744
177,135.1878515,33.44918288,27.136261
178,124.698673,73.43964793,2.588623622
179,102.9871342,21.3708662,4.828949853
180,124.7131102,75.22514007,39.82970401
181,128.3973451,41.20783684,9.132862776
182,733.889975,109.8988755,99.76643149
183,708.5568099,117.5843313,111.3886084
184,126.1786769,68.10129917,3.469401393
185,187.0440041,145.1272816,72.59054934
186,640.201081,162.4897402,59.54350068
187,165.4878108,14.31280148,4.932531
188,552.2467222,168.3810221,13.63044222
189,161.6894131,105.114451,85.54599282
190,622.9028809,127.8196191,21.30178673
191,690.5252769,193.8718501,149.493292
192,134.6038955,131.4524421,33.64153307
193,183.8605238,171.1744457,61.90767575
194,516.6702254,140.3317223,101.4999926
195,728.380022,142.8701395,134.6398784
196,161.1592477,121.2798014,119.4870272
197,135.915591,83.00517738,75.82115659
198,618.7442344,151.2791085,68.80782618
199,404.2607238,159.0308326,18.72950318
200,435.7901517,133.7997644,30.33324924
201,109.1464611,2.52477811,1.08526196
202,124.6410111,93.72739123,66.22942772
203,175.2382722,84.23026853,82.49276722
204,127.6331863,29.20573546,1.751996743
205,126.5850674,85.71544622,33.44371595
206,160.8193018,104.5093854,58.69327889
207,119.7619451,7.624983767,2.623650129
208,189.6223576,134.8369179,133.1798096
209,437.3830185,146.5915229,70.11792818
210,706.2510467,121.3495043,110.6060714
211,136.4921115,25.58820241,0.187225853
212,141.8293219,25.76744645,18.66902618
213,768.5578378,115.0676125,95.82728708
214,141.5110515,93.43583956,0.434989578
215,556.9349269,109.8999222,23.54640906
216,128.5774683,71.95616766,24.72146104
217,112.6937593,30.25891322,10.94827027
218,577.6179198,140.8531546,10.03169948
219,114.6419741,92.31153729,55.36445966
220,135.7979438,88.90165167,43.03009035
221,442.0820633,191.882472,156.0456346
222,735.1921323,104.8317398,25.48513866
223,616.6162696,198.3771174,37.34653154
224,172.5330382,132.6227753,132.2233332
225,616.1218619,102.9769638,1.275492731
226,179.2062813,5.737451174,3.99875526
227,400.3260679,138.9977703,27.43712674
228,189.224647,173.5841859,153.8351926
229,156.6959748,92.05398484,19.23904768
230,129.0545133,57.31866914,5.63431937
231,650.7076378,180.7110201,20.50113335
232,754.3813358,165.7416091,94.54901088
233,486.0133798,147.8358944,21.21973297
234,103.9269879,27.80370808,16.22196104
235,746.217323,187.1628729,181.496971
236,458.4224312,142.2261415,105.3386983
237,187.3081795,72.30778203,39.13460729
238,483.619569,144.0957815,71.34203839
239,121.7625578,70.07427045,26.86175287
240,741.8191622,166.170695,96.3636869
241,139.0064677,25.84990575,24.25503421
242,586.7634812,148.7020294,85.26606635
243,773.7328875,123.5706752,48.724346
244,470.1137614,195.9687599,54.2583394
245,479.3199695,171.4264935,56.54547263
246,428.3081752,171.1597962,95.13623925
247,448.5950809,163.5341464,149.996802
248,157.3012997,155.1044329,111.6422277
249,118.4379497,19.08162063,14.84236236
250,514.271948,171.7026538,142.1481536
251,190.6332021,50.29657202,20.38910796
252,423.6088723,120.912157,86.22559473
253,109.9325692,48.76118619,14.56813051
254,140.7328707,75.79285965,17.8862327
255,123.7196437,41.95083043,6.248941847
256,110.095636,40.58550992,32.20596567
257,129.7840458,10.25857119,0.638700097
258,729.7162719,170.2523523,72.44701376
259,607.6221127,180.7351497,86.96202835
260,426.2526923,192.1324998,141.9251026
261,141.3536641,92.87741587,16.2477793
262,126.8461801,4.570493128,0.449554351
263,139.5435943,87.85221044,4.39268236
264,577.7162584,196.2772157,31.48686644
265,120.3800905,117.0211545,11.5263017
266,413.2455509,103.3281433,41.17750929
267,459.9373136,121.990108,27.89361117
268,456.0386534,187.7873455,28.67244319
269,189.6276483,2.673527014,0.151118822
270,410.7815601,186.907187,42.76743566
271,436.6957425,187.5717561,128.1642935
272,189.1786794,93.91624149,77.48682713
273,725.86492,131.1868724,81.52536197
274,569.2114059,126.9708331,86.03161592
275,138.8818919,128.8083377,12.24564605
276,475.448752,169.0771429,117.4051514
277,182.269278,81.47781043,3.360052757
278,167.755947,21.82395362,19.45388222
279,149.1596382,84.13546613,3.519140817
280,114.7520598,62.82535048,20.71446778
281,505.9952212,180.1971522,137.8366511
282,762.1455958,151.8511644,101.5942486
283,593.034566,166.6082231,14.09463774
284,161.6442686,16.36324372,5.727771378
285,185.4138241,184.6212227,10.42546287
286,136.1138681,34.00833711,26.20017288
287,138.445954,17.1895161,3.025352506
288,104.690658,32.86193908,28.24536454
289,410.6748542,166.8605029,91.57218247
290,137.8805942,119.0808115,51.96786843
291,186.0539877,90.63302528,55.24897067
292,176.353043,34.96524396,23.48045967
293,157.4334974,55.11525075,4.547707536
294,196.6164683,183.3468375,164.4758399
295,501.2955179,134.4962595,116.1083139
296,174.2753724,110.3383049,24.36804211
297,473.2768885,148.6656057,29.53704415
298,584.3732057,120.6011223,85.51730126
299,116.476283,108.6910208,92.92447446
300,479.8986043,135.641164,120.9955096
301,110.6166116,6.513517123,1.370086978
302,101.6825694,29.20082153,17.77178702
303,773.0690456,193.1828321,62.69042035
304,132.4100925,50.37387419,30.37333221
305,794.1256987,150.5704552,130.1885748
306,524.8016198,199.2132351,38.06064329
307,796.2158841,157.2532343,44.76094234
308,576.9179425,167.2643881,146.1190505
309,414.7409969,168.0214104,37.86100071
310,121.5129182,107.2119747,14.69607941
311,186.8113096,167.4458065,123.9886629
312,101.0454752,67.33899339,19.05658749
313,160.5781773,4.23336018,2.350514452
314,116.1074247,72.79415904,64.93023721
315,159.3004093,9.8457509,1.667672976
316,448.1628988,128.997487,22.20585708
317,719.3918489,138.889372,91.43019954
318,484.4698807,116.3603027,78.65743597
319,129.3006903,119.4275208,68.39873657
320,444.7148681,148.017637,101.3374182
321,471.253956,144.5647005,51.09856487
322,618.2014228,196.0321003,88.91121716
323,142.9583542,114.8911951,30.34360897
324,173.9857432,169.59793,128.0214807
325,424.1998102,180.497407,89.40022627
326,113.9963695,84.94598627,1.872141358
327,477.7242239,197.2957456,185.9785362
328,411.3509304,100.1234881,45.09659623
329,163.8820329,132.9204325,30.67766583
330,191.1047704,55.94915322,38.81366229
331,118.2751938,98.9906682,1.433413492
332,167.4400517,70.48861154,10.9232856
333,581.8166021,125.3598485,123.810805
334,515.8879318,132.4036023,18.52073484
335,196.8775269,178.7932086,102.3557137
336,112.7650212,100.7858863,44.14302587
337,772.9780567,195.4370543,5.061763342
338,783.2852829,129.3358072,108.809161
339,594.4768383,131.6250812,121.2359135
340,608.2803208,104.4960229,10.39245965
341,476.5168209,128.2695612,32.50112311
342,703.8082798,106.3887316,26.31366815
343,196.2658885,125.3193906,5.321819938
344,594.1071854,119.5688133,95.70516267
345,513.7186054,177.8076523,71.89642849
346,655.5240611,198.4954151,36.46380785
347,158.6546882,103.3597759,97.18489987
348,118.8653452,55.35722425,49.51734276
349,671.7690645,156.9383037,96.0195748
350,125.7479344,81.95182473,22.03886787
351,761.7057194,151.0273951,55.53526349
352,752.4063684,115.6465399,64.83602488
353,505.5636539,188.9153725,163.558283
354,447.7057194,196.2976867,19.76783
355,100.1478181,47.7683416,2.422890093
356,710.9019504,119.7200584,12.45654915
357,176.1423665,10.71129177,9.023715705
358,431.6160126,188.3817765,142.2750173
359,544.5177045,164.9361331,24.57621208
360,435.2627762,143.5894217,48.86562946
361,748.9528835,162.2364459,18.62977867
362,198.503973,88.44560019,62.47731078
363,133.4845981,124.1180081,45.22961649
364,454.4227592,148.9105132,45.6331324
365,782.7706145,101.8850656,82.47659416
366,771.2251876,148.7342431,91.60528444
367,115.7732838,102.8027002,82.36463841
368,189.3910747,83.59869428,12.80714857
369,158.7821039,77.49470141,28.08439167
370,189.7507313,98.39731868,56.32210638
371,454.1639037,112.1765296,46.09531377
372,637.6469718,111.2845814,107.3411445
373,171.1039723,71.56771725,10.3010596
374,112.9940997,85.43145205,22.51779187
375,175.7441069,114.9718088,70.509072
376,656.2643533,113.4893066,48.02386863
377,633.5355465,139.6621568,52.15941726
378,156.7590094,41.08927502,10.47053605
379,572.0122129,125.4810755,59.50152507
380,121.0817933,72.35096749,50.23341502
381,114.3734349,19.41144745,17.93193077
382,663.0282979,102.5417014,1.748636099
383,617.7644871,129.7825332,83.5711079
384,125.7192137,1.386088725,0.882987699
